"gid"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"geom"|"distanza_minima"|"comune_ist"|"comune_nom"
"13948"|"slot"|"EA010038907S"|"SEZZADIO"|"VIA GRAMSCI 4, SEZZADIO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000781ECF906E741C418E739BD9F3EA5241"|"300"|"006161"|"Sezzadio"
"13949"|"slot"|"EA670025420A"|"VERBANIA (VB)"|"VIA RIGOLA 10, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000677565BE487C1C410361DA1EAC675341"|"500"|"103072"|"VERBANIA"
"13950"|"slot"|"EA670016809A"|"VERBANIA (VB)"|"VIA ROMA 15, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000885D478F917C1C41BACEB3D895675341"|"500"|"103072"|"VERBANIA"
"13951"|"slot"|"EA010189977J"|"SEZZADIO"|"PIAZZA LIBERTA' 8, SEZZADIO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000286F81217A731C4101A029F5F5EA5241"|"300"|"006161"|"Sezzadio"
"13952"|"slot"|"EA670131971Z"|"AGRATE CONTURBIA (NO)"|"VIA CASTELLO 10, AGRATE CONTURBIA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000050F0C4B6E07B1C417DACDE3CD04A5341"|"300"|"003001"|"Agrate Conturbia"
"13953"|"slot"|"EA010005876R"|"VERBANIA (VB)"|"VIA VITTORIO VENETO 133, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000BB973637C37A1C41CD30120140675341"|"500"|"103072"|"VERBANIA"
"13954"|"slot"|"EA670007837R"|"VERBANIA (VB)"|"PIAZZA CAVOUR 12, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000A73576918E7B1C41C559AF8A28685341"|"500"|"103072"|"VERBANIA"
"13955"|"slot"|"EA670118692B"|"VERBANIA (VB)"|"PIAZZA CAVOUR 38, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000388D7880947B1C41A1117C9F2C685341"|"500"|"103072"|"VERBANIA"
"13956"|"slot"|"EA670084787A"|"VERBANIA (VB)"|"VIA ROMA 23, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00001EBEE6292D7C1C41BA85375A9A675341"|"500"|"103072"|"VERBANIA"
"13957"|"slot"|"EA010020056A"|"SAN SALVATORE MONFERRATO"|"VIA TARCHETTI 2, SAN SALVATORE MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00001FB39787B16F1C41C86142EAB8015341"|"300"|"006154"|"San Salvatore Monferrato"
